title,author,overview,subject
The Personal Librarian,Marie Benedict,"The Instant New York Times Bestseller! A Good Morning America* Book Club Pick!  “Historical fiction at its best!”*   A remarkable novel about J. P. Morgan’s personal librarian, Belle da Costa Greene, the Black American woman who was forced to hide her true identity and pass as white in order to leave a lasting legacy that enriched our nation, from New York Times bestselling author Marie Benedict, and acclaimed author Victoria Christopher Murray.In her twenties, Belle da Costa Greene is hired by J. P. Morgan to curate a collection of rare manuscripts, books, and artwork for his newly built Pierpont Morgan Library. Belle becomes a fixture in New York City society and one of the most powerful people in the art and book world, known for her impeccable taste and shrewd negotiating for critical works as she helps create a world-class collection.But Belle has a secret, one she must protect at all costs. She was born not Belle da Costa Greene but Belle Marion Greener. She is the daughter of Richard Greener, the first Black graduate of Harvard and a well-known advocate for equality. Belle’s complexion isn’t dark because of her alleged Portuguese heritage that lets her pass as white—her complexion is dark because she is African American.The Personal Librarian tells the story of an extraordinary woman, famous for her intellect, style, and wit, and shares the lengths she must go to—for the protection of her family and her legacy—to preserve her carefully crafted white identity in the racist world in which she lives.",General Fiction
Once Upon a Time in Hollywood: A Novel,Quentin Tarantino,"The Instant #1 New York Times bestsellerQuentin Tarantino’s long-awaited first work of fiction — at once hilarious, delicious, and brutal — is the always surprising, sometimes shocking new novel based on his Academy Award- winning film.RICK DALTON – Once he had his own TV series, but now Rick’s a washed-up villain-of-the week drowning his sorrows in whiskey sours. Will a phone call from Rome save his fate or seal it?CLIFF BOOTH – Rick’s stunt double, and the most infamous man on any movie set because he’s the only one there who might have gotten away with murder. . . .SHARON TATE – She left Texas to chase a movie-star dream, and found it. Sharon’s salad days are now spent on Cielo Drive, high in the Hollywood Hills.CHARLES MANSON – The ex-con’s got a bunch of zonked-out hippies thinking he’s their spiritual leader, but he’d trade it all to be a rock ‘n’ roll star.HOLLYWOOD 1969 – YOU SHOULDA BEEN THERE",General Fiction
Murder at Sunrise Lake,Christine Feehan,"#1 New York Times bestselling author Christine Feehan reaches new heights of passion and suspense in this thrilling novel that takes readers deep into the California backcountry, where a woman is tormented by visions of a killer. It starts in her dreams. Hideous flashes from a nightmare only she can stop. Images of a murderer stalking the ones she cares about most… Stella Harrison thought she got away from the traumas of her past. Running the Sunrise Lake resort high in the Sierra Nevada mountains has brought her peace, even though she doesn’t truly share her quiet life with anyone. Not even Sam, the hired handyman that notices everything and always seems to know exactly what she needs. Stella doesn’t know anything about Sam’s past, but somehow over the last two years his slow, steady presence has slipped past her defenses. Still, she knows she can’t tell him about her recent premonitions. So far there’s been no murder. No body. No way to prove what’s about to happen without destroying the life she’s built for herself. But a killer is out there. And Stella knows that this time she’ll do whatever it takes to stop him.",General Fiction
The Shadow,James Patterson,"Before Alex Cross, before Michael Bennett, before Jack Reacher, there was The Shadow! The world’s bestselling author, James Patterson, reimagines one of America’s iconic thriller heroes.Only two people know that 1930s society man Lamont Cranston has a secret identity as the Shadow, a crusader for justice. One is his greatest love, Margo Lane, and the other is fiercest enemy, Shiwan Khan. When Khan ambushes the couple, they must risk everything for the slimmest chance of survival . . . in the future.     A century and a half later, Lamont awakens in a world both unknown and disturbingly familiar. The first person he meets is Maddy Gomes, a teenager with her own mysterious secrets, including a knowledge of the legend of the Shadow.Most disturbing, Khan's power continues to be felt over the city and its people. No one in this new world understands the dangers of stopping him better than Lamont Cranston. And only the Shadow knows that he’s the one person who might succeed before more innocent lives are lost.",General Fiction
The Secrets of Lord Grayson Child,Stephanie Laurens,"#1 New York Times bestselling author Stephanie Laurens returns to the world of the Cynsters' next generation with the tale of an unconventional nobleman and an equally unconventional noblewoman learning to love and trust again. A jilted noblewoman forced into a dual existence half in and half out of the ton is unexpectedly confronted by the nobleman who left her behind ten years ago, but before either can catch their breaths, they trip over a murder and into a race to capture a killer.Lord Grayson Child is horrified to discover that The London Crier, a popular gossip rag, is proposing to expose his extraordinary wealth to the ton's matchmakers, not to mention London's shysters and Captain Sharps. He hies to London and corners The Crier's proprietor—only to discover the paper's owner is the last person he'd expected to see.Izzy—Lady Isadora Descartes—is flabbergasted when Gray appears in her printing works' office. He's the very last person she wants to meet while in her role as owner of The Crier, but there he is, as large as life, and she has to deal with him without giving herself away! She manages—just—and seizes on the late hour to put him off so she can work out what to do.But before leaving the printing works, she and he stumble across a murder, and all hell breaks loose.Izzy can only be grateful for Gray's support as, to free them both of suspicion, they embark on a joint campaign to find the killer.Yet working side by side opens their eyes to who they each are now—both quite different to the youthful would-be lovers of ten years before. Mutual respect, affection, and appreciation grow, and amid the chaos of hunting a ruthless killer, they find themselves facing the question of whether what they'd deemed wrecked ten years before can be resurrected.Then the killer's motive proves to be a treasonous plot, and with others, Gray and Izzy race to prevent a catastrophe, a task that ultimately falls to them alone in a situation in which the only way out is through selfless togetherness—only by relying on each other will they survive.A classic historical romance laced with crime and intrigue. A Cynster Next Generation-connected novel—a full-length historical romance of 115,000 wordsPraise for The Secrets of Lord Grayson Child""This full-bodied novel should please all long-time fans of novels about romance and intrigue set in nineteenth-century England."" Virge B., Proofreader, Red Adept Editing""Two old lovers embark on an investigation that is brimming with danger and intrigue. Their simmering, suspenseful tale is one that fans of Regency romance dare not miss."" Angela M., Copy Editor, Red Adept Editing""After ten years apart, former lovers Lord Grayson Child and Lady Isadora Descartes work together to solve a high-stakes mystery (and) secrets from their past. Is it wise to rekindle their romance, or will the search for love be their undoing? The attention to detail in both setting and characters brings the story to life. Fans of Regency romance are sure to enjoy uncovering The Secrets of Lord Grayson Child."" Brittany M., Proofreader, Red Adept Editing",General Fiction
Exposed,Kristen Callihan,"BrennaThere are some people in life who know exactly how to push your buttons. For me, it's Rye Peterson. We can't spend more than ten minutes together before we're at each other's throats, which makes working together that much harder. Rye is the bassist for Kill John, the biggest rock band in the world, and I am his publicist. It doesn't help that the man is gorgeous, funny, talented, and...never takes anything seriously. Avoidance is key.But everything changes when he overhears something he shouldn't: a confession made in a moment of weakness. Now the man I've tried so hard to ignore is offering me the greatest temptation of all—him. RyeBrenna James is the one. The one I can't have. The one I can't get out of my mind. Believe me, I've tried; the woman loathes me. I managed well enough—until I heard her say she's as lonely as I am. That she needed to be touched, held, satisfied. And I could no longer deny the truth: I wanted to be the one to give her what she craved.I convinced her that it would just be sex, mutual satisfaction with nothing deeper. But the moment I have her, she becomes my world. I've never given her a good reason to trust me before. Now, I've got to show Brenna that we're so much better together than we ever were apart. Things are going to get messy. But getting messy with Brenna is what I do best.",General Fiction
Fallen (Kate Burkholder Series #13),Linda Castillo,"In New York Times bestselling author Linda Castillo’s new thriller Fallen, a rebellious Amish woman leaves the Plain life, but the secrets she takes with her will lead Chief of Police Kate Burkholder down a dark path to danger and death.When a young woman is found murdered in a Painters Mill motel, Chief of Police Kate Burkholder is shocked to discover she once knew the victim. Rachael Schwartz was a charming but troubled Amish girl who left the fold years ago and fled Painters Mill. Why was she back in town? And who would kill her so brutally?Kate remembers Rachael as the only girl who was as bad at being Amish as Kate was—and those parallels dog her. But the more Kate learns about Rachael's life, the more she's convinced that her dubious reputation was deserved. As a child, Rachael was a rowdy rulebreaker whose decision to leave devastated her parents and best friend. As an adult, she was charismatic and beautiful, a rabble-rouser with a keen eye for opportunity no matter who got in her way. Her no-holds-barred lifestyle earned her a lot of love and enemies aplenty—both English and Amish. As the case heats to a fever pitch and long-buried secrets resurface, a killer haunts Painters Mill. Someone doesn’t want Rachael’s past—or the mysteries she took with her to the grave—coming to light. As Kate digs deeper, violence strikes again, this time hitting close to home. Will Kate uncover the truth and bring a murderer to justice? Or will a killer bent on protecting a terrible past stop her once and for all—and let the fallen be forgotten?",General Fiction
The Heathens (Quinn Colson Series #11),Ace Atkins,"Sheriff Quinn Colson and his former deputy Lillie Virgil find themselves on opposite sides of a case for the first time after a woman is found dead and three delinquent teens go on the run.Before he was an Army Ranger who came home to become Tibbehah County Sheriff and take down a corrupt system, Quinn Colson was a kid who got into trouble--a lot of it. So when juvenile delinquent TJ Byrd insists that she doesn’t know who killed her mother—an unreliable addict who has disappeared—Quinn’s inclined to believe her. But no one else does--not the town, not the sheriff in a neighboring county, not her mother’s older boyfriend, and certainly not Quinn’s friend and former deputy, U.S. Marshal Lillie Virgil. The Byrd family has always been trouble, and sixteen-year-old TJ is known for petty theft, fighting, and general hellraising. She’s also no fool, and when she senses she’s about to take the fall for her mother’s murder, TJ, her boyfriend, her best friend, and her nine-year-old brother go on the run. As Lillie Virgil tracks the kids across a trail of burglaries, stolen cars and even a kidnapping, intent on bringing TJ to justice, Quinn sets out to find the truth back in Tibbehah. Someone has gone to a lot of violent trouble to make TJ and her friends the logical target of the investigation. It’s easy, and who cares about a bunch of lawless kids? As the bloody evidence against TJ piles up, Quinn knows someone truly evil is at work here--and that puts TJ and her friends in more danger than they can imagine.",General Fiction
The Crystal Kingdom (B&amp;N Exclusive Edition) (The Adventure Zone Series #4),Clint McElroy,"Found only at Barnes & Noble, this exclusive edition includes four collectible metallic stamped trading cards including Magnus, Merle, Taako, and Kravitz. Based on the blockbuster podcast where the McElroy brothers and their dad play a tabletop RPG and illustrated by cartooning powerhouse Carey Pietsch, The Adventure Zone: The Crystal Kingdom takes this #1 New York Times bestselling series to haunting new heights.A desperate call for help interrupts holiday celebrations at the Bureau of Balance, and sends Taako, Magnus and Merle on a high-stakes mission to find and Reclaim a fourth deadly relic: a powerful transmutation stone, hidden somewhere in the depths of a floating arcane laboratory that’s home to the Doctors Maureen and Lucas Miller. An unknown menace has seized control of the stone, and is using it to transform the lab into a virulent pink crystal that spreads to everything it touches. It’s only a matter of time before this sparkling disaster crash-lands, but in order to find the stone and save the whole planet from being King Midased, our heroes will have to fight their way through a gauntlet of rowdy robots and crystal golems, decide whether they can trust the evasive Lucas Miller, and solve the mystery of what—or who—has put them all in peril, before there’s no world left to save.",General Fiction
The Third Grave (Pierce Reed/Nikki Gillette Series #4),Lisa Jackson,"A thrilling new crime novel from the bestselling author of You Betrayed Me, perfect for fans of Sandra Brown and Iris Johansen! Return to the dark side of Savanna, Georgia where a crime writer and her police detective husband are working a cold case, and hot on the trail of a killer whose work isn’t done.  The old Beaumont mansion is a rotting shell of its once-grand self, especially after a disastrous hurricane sweeps through Georgia. The storm does more than dislodge shutters and shingles. It leads to a grisly find in the cellar. Three graves. But only two skeletons…   For Nikki, the discovery is a gift, the perfect subject for her next crime book—though Reed has made her promise not to keep involving herself in dangerous police business. But despite the increasing tension between them, Nikki can’t stay away from this story. Rumors are widespread that the burial site is the resting place of the Duval sisters—three young girls who went to the movies with their older brother, Owen, twenty years ago, and never returned. Forensics confirms that the remains belong to Holly and Poppy Duval. But where is the youngest sister, Rose?  Owen Duval was, and remains, the prime suspect, alibi or no. But as Nikki and Reed delve deep into the mystery, fractures in the case begin to show. There is more to the sisters’ disappearance than anyone ever guessed. Far from an isolated act, those deaths were just the beginning. And there will be no rest, and no relenting, until the killer has buried the twisted truth along with his victims…",General Fiction
The Perfect Mistress (A Jessie Hunt Psychological Suspense ThrillerBook Fifteen),Blake Pierce,"""A masterpiece of thriller and mystery. Blake Pierce did a magnificent job developing characters with a psychological side so well described that we feel inside their minds, follow their fears and cheer for their success. Full of twists, this book will keep you awake until the turn of the last page."" --Books and Movie Reviews, Roberto Mattos (re Once Gone) THE PERFECT MISTRESS is book #15 in a new psychological suspense series by bestselling author Blake Pierce, which begins with The Perfect Wife, a #1 bestseller (and free download) with over 600 five-star reviews. When wealthy suburban women are found murdered in their small town without rhyme or reason, Jessie soon realizes she is up against no ordinary killer. He is an unpredictable psychopath, beyond anyone she's ever been up against—and she will have to enter the dark canals of his twisted mind if she has any chance of saving the next woman on his list.A fast-paced psychological suspense thriller with unforgettable characters and heart-pounding suspense, THE JESSIE HUNT series is a riveting new series that will leave you turning pages late into the night.",General Fiction
Such a Quiet Place: A Novel,Megan Miranda,"From the New York Times bestselling author of The Last House Guest—a Reese Witherspoon Book Club selection—comes a new riveting suspense novel about a mysterious murder in an idyllic and close-knit neighborhood.Welcome to Hollow’s Edge, where you can find secrets, scandal, and a suspected killer—all on one street. Hollow’s Edge used to be a quiet place. A private and idyllic neighborhood where neighbors dropped in on neighbors, celebrated graduation and holiday parties together, and looked out for one another. But then came the murder of Brandon and Fiona Truett. A year and a half later, Hollow’s Edge is simmering. The residents are trapped, unable to sell their homes, confronted daily by the empty Truett house, and suffocated by their trial testimonies that implicated one of their own. Ruby Fletcher. And now, Ruby’s back. With her conviction overturned, Ruby waltzes right back to Hollow’s Edge, and into the home she once shared with Harper Nash. Harper, five years older, has always treated Ruby like a wayward younger sister. But now she’s terrified. What possible good could come of Ruby returning to the scene of the crime? And how can she possibly turn her away, when she knows Ruby has nowhere to go? Within days, suspicion spreads like a virus across Hollow’s Edge. It’s increasingly clear that not everyone told the truth about the night of the Truetts’ murders. And when Harper begins receiving threatening notes, she realizes she has to uncover the truth before someone else becomes the killer’s next victim. Pulsating with suspense and with the shocking twists that are Megan Miranda’s trademark, Such a Quiet Place is Megan Miranda’s best novel yet—a twisty locked-box thriller that will keep you turning pages late into the night.",General Fiction
Simply Irresistible,Melody Grace,"""If you like Sweet Magnolias and Virgin River, you'll fall in love with Sweetbriar Cove!""Escape to Cape Cod with this feel-good summer romance. Millions of readers have fallen for the bestselling series -- join them today!Jules Rivera loves a challenge. She's saved failing businesses, and transformed scruffy guys into handsome bachelors — who turn around and leave her in the dust. Some thanks. She vows not to make the same mistakes again... until she stumbles over a gorgeous, run-down vineyard in Sweetbriar Cove. Jules knows the place could be something special. And as for the surly, rugged owner? All her instincts tell her, he's something pretty special too...Reeve Hastings has no intention of being anyone's project. He's trying to save his family legacy, and he doesn't need help from anyone, especially not the brunette spitfire who knows nothing about wine. But Jules is annoyingly determined — and full of surprisingly good ideas — and soon, she's making her mark on the vineyard. And driving Reeve crazy, in all the best, most tantalizing ways...Jules knows she should keep businesses and pleasure far apart, but Reeve's smile is more intoxicating than any bottle of Merlot. And as for his kisses... Simply irresistible. Their passion is undeniable, but with the future of the vineyard on the line, can this summer fling put down roots? Or will past heartache spoil their chance of happy-ever-after?Find out in the new stand-alone Sweetbriar Cove love story — featuring all your favorite characters at the Beachcomber Inn! The Sweetbriar Cove Series:#1 Meant to Be#2 All for You#3 The Only One#4 I'm Yours#5 Holiday Kisses#6 No Ordinary Love#7 Wildest Dreams#8 This Kiss#9 Always Be Mine#10 Two Hearts (Kinsella Family #1)#11 The Story of Us#12 Back to You#13 One More Night#14 Time After Time#15 Forever Summer (Beachcomber Inn #1)#16 Simply Irresistible #17 From This Moment (Dec 2021)",General Fiction
A Woman of Intelligence,Karin Tanabe,"""Captivating."" ––The Washington PostNamed a Best Book of Summer by Good Morning America • BuzzFeed • PopSugar • BookRiot • LifeSavvy • CT PostFrom ""a master of historical fiction"" (NPR), Karin Tanabe's A Woman of Intelligence is an exhilarating tale of post-war New York City, and one remarkable woman’s journey from the United Nations, to the cloistered drawing rooms of Manhattan society, to the secretive ranks of the FBI.A Fifth Avenue address, parties at the Plaza, two healthy sons, and the ideal husband: what looks like a perfect life for Katharina Edgeworth is anything but. It’s 1954, and the post-war American dream has become a nightmare.A born and bred New Yorker, Katharina is the daughter of immigrants, Ivy-League-educated, and speaks four languages. As a single girl in 1940s Manhattan, she is a translator at the newly formed United Nations, devoting her days to her work and the promise of world peace—and her nights to cocktails and the promise of a good time. Now the wife of a beloved pediatric surgeon and heir to a shipping fortune, Katharina is trapped in a gilded cage, desperate to escape the constraints of domesticity. So when she is approached by the FBI and asked to join their ranks as an informant, Katharina seizes the opportunity. A man from her past has become a high-level Soviet spy, but no one has been able to infiltrate his circle. Enter Katharina, the perfect woman for the job.Navigating the demands of the FBI and the secrets of the KGB, she becomes a courier, carrying stolen government documents from D.C. to Manhattan. But as those closest to her lose their covers, and their lives, Katharina’s secret soon threatens to ruin her.With the fast-paced twists of a classic spy thriller, and a nuanced depiction of female experience, A Woman of Intelligence shimmers with intrigue and desire.",General Fiction
Anxious People: A Novel,Fredrik Backman,"An instant #1 New York Times bestseller, the new novel from the author of A Man Called Ove is a “quirky, big-hearted novel….Wry, wise and often laugh-out-loud funny, it’s a wholly original story that delivers pure pleasure” (People).Looking at real estate isn’t usually a life-or-death situation, but an apartment open house becomes just that when a failed bank robber bursts in and takes a group of strangers hostage. The captives include a recently retired couple who relentlessly hunt down fixer-uppers to avoid the painful truth that they can’t fix their own marriage. There’s a wealthy bank director who has been too busy to care about anyone else and a young couple who are about to have their first child but can’t seem to agree on anything. Add to the mix an eighty-seven-year-old woman who has lived long enough not to be afraid of someone waving a gun in her face, a flustered but still-ready-to-make-a-deal real estate agent, and a mystery man who has locked himself in the apartment’s only bathroom, and you’ve got the worst group of hostages in the world. Each of them carries a lifetime of grievances, hurts, secrets, and passions that are ready to boil over. None of them is entirely who they appear to be. And all of them—the bank robber included—desperately crave some sort of rescue. As the authorities and the media surround the premises, these reluctant allies will reveal surprising truths about themselves and set in motion a chain of events so unexpected that even they can hardly explain what happens next. Proving once again that Backman is “a master of writing delightful, insightful, soulful, character-driven narratives” (USA TODAY), Anxious People “captures the messy essence of being human….It’s clever and affecting, as likely to make you laugh out loud as it is to make you cry” (The Washington Post). This “endlessly entertaining mood-booster” (Real Simple) is proof that the enduring power of friendship, forgiveness, and hope can save us—even in the most anxious of times.",General Fiction
