,title,author,overview,genre
10,Halo Encyclopedia,Microsoft,"In the 26th century, humanity relentlessly continues their fight for survival, an enduring conflict set against the backdrop of the enigmatic and ancient ringworld known as Halo. The universe of Halo is remarkably vast in scale and astonishingly elaborate in detail, telling rich stories filled with bold characters, breathtaking worlds, and thrilling conflicts. In celebration of the 20th anniversary of Halo, Dark Horse and 343 Industries have teamed up to deliver the most definitive guide to the universe thus far. Spanning over a hundred millennia and encompassing over a hundred thousand light years, the Halo Encyclopedia captures two decades of storytelling with stunning, never-before-seen art and the most detailed exploration of the universe’s many characters, worlds, and technologies to have ever been created",Activity & Game Books
11,Stuff You Should Know: An Incomplete Compendium of Mostly Interesting Things (B&amp;N Exclusive Edition),Josh Clark,"This B&N exclusive includes a bonus chapter from Josh Clark and Chuck Bryant on what you should know about Superman's true origin story. From the duo behind the massively successful and award-winning podcast Stuff You Should Know comes an unexpected look at things you thought you knew. Josh Clark and Chuck Bryant started the podcast Stuff You Should Know back in 2008 because they were curious—curious about the world around them, curious about what they might have missed in their formal educations, and curious to dig deeper on stuff they thought they understood. As it turns out, they aren't the only curious ones. They've since amassed a rabid fan base, making Stuff You Should Know one of the most popular podcasts in the world. Armed with their inquisitive natures and a passion for sharing, they uncover the weird, fascinating, delightful, or unexpected elements of a wide variety of topics. The pair have now taken their near-boundless ""whys"" and ""hows"" from your earbuds to the pages of a book for the first time—featuring a completely new array of subjects that they’ve long wondered about and wanted to explore. Each chapter is further embellished with snappy visual material to allow for rabbit-hole tangents and digressions—including charts, illustrations, sidebars, and footnotes. Follow along as the two dig into the underlying stories of everything from the origin of Murphy beds, to the history of facial hair, to the psychology of being lost.  Have you ever wondered about the world around you, and wished to see the magic in everyday things? Come get curious with Stuff You Should Know. With Josh and Chuck as your guide, there’s something interesting about everything (…except maybe jackhammers).",Activity & Game Books
12,The Secret: A Treasure Hunt,Sean Kelly,"The tale begins over three-hundred years ago, when the Fair People—the goblins, fairies, dragons, and other fabled and fantastic creatures of a dozen lands—fled the Old World for the New, seeking haven from the ways of Man. With them came their precious jewels: diamonds, rubies, emeralds, pearls... But then the Fair People vanished, taking with them their twelve fabulous treasures. And they remained hidden until now...Across North America, these twelve treasures, over ten-thousand dollars in precious jewels in 1982 dollars, are buried. The key to finding each can be found within the twelve full-color paintings and verses of THE SECRET.Are you smart enough?THE SECRET: A TREASURE HUNT was published in 1982. The year before publication, the author and publisher Byron Preiss had traveled to 12 locations in the continental U.S. (and possibly Canada) to secretly bury a dozen ceramic casques. Each casque contained a small key that could be redeemed for one of 12 jewels Preiss kept in a safe deposit box in New York. The key to finding the casques was to match one of 12 paintings to one of 12 poetic verses, solve the resulting riddle, and start digging. Since 1982, only three of the 12 casques have been recovered. The first was located in Grant Park, Chicago, in 1984 by a group of students. The second was unearthed in 2004 in Cleveland by two members of the Quest4Treasure forum, and the third was found in Boston in 2019 by a father and his two children.Preiss was killed in an auto accident in the summer of 2005, but the hunt for his casques continues.",Activity & Game Books
13,The Official Scrabble Players Dictionary (Sixth Edition),Merriam-Webster,"This NEW Edition edition features more than 100,000 playable two-to eight-letter words.Hundreds of new words, from a variety of fields including facepalm, listicle, bitcoin and emoj. Ideal for school and recreational use.",Activity & Game Books
14,New York Times Light and Easy Crossword Puzzles,Will Shortz (Editor),"From the #1 name in crosswords-The New York Times—and Will Shortz, ""the crossword king"" (Steve Kroft, 60 Minutes), comes another thrilling book of crosswords. These 130 New York Times crosswords have been chosen from puzzles published in the Monday and Tuesday editions of the paper, and features the easiest and most popular puzzles for readers looking for the satisfaction of successful solving. Whether you're waiting for your flight to take off, sipping an espresso at the coffee bar, or lying by the poolside, this compact edition easily fits into your purse or briefcase so that it can go wherever you go!",Activity & Game Books
15,"Dungeons &amp; Dragons Dungeon Master's Guide (Core Rulebook, D&amp;D Roleplaying Game)",Wizards RPG Team,"Weave legendary stories in the world’s greatest roleplaying game.    All you need to run a Dungeons & Dragons game is your imagination, some dice, and this book. The Dungeon Master’s Guide teaches you how to how to run D&D adventures for your players— how to invent monsters for them to fight, mysteries for them to solve, and fantasy worlds for them to explore.    “[The Dungeon Master’s Guide is] the one book to rule them all, the most comprehensive and powerful set of resources needed to run a game of D&D. . .”  —Charlie Hall, Polygon.com    “D&D acolytes are everywhere...Tech workers from Silicon Valley to Brooklyn have long-running campaigns, and the showrunners and the novelist behind ‘Game of Thrones’ have all been Dungeon Masters.”—Neima Jahromi, The New Yorker    • The Dungeon Master’s Guide is one of the three main Dungeons & Dragons books, along with the Player’s Handbook and Monster Manual. It’s a reference used by the Dungeon Master (the game’s narrator) to create adventures—to run Dungeons & Dragons games and fill them with characters and stories.    • The Dungeon Master’s Guide (DMG) is full of tools to help you immerse players in the game. What’s the demon lord’s secret weakness? Are the orcish invaders a criminal enterprise, or traitorous allies? Dozens of tables throughout the book help inspire your decisions and keep the game flowing smoothly.    • In the Dungeon Master’s Guide (DMG), even the tables tell tales. A legendary sword takes five decades to craft. Who created it, and why? A tavern-crawling gnome has an eye twitch. How did she get it, and when? In every detail is an architecture for narrative—and the Dungeon Master’s Guide has all the tools you need to flesh it out with ease.    • In Dungeons & Dragons, you and your friends coauthor your own legend. Guided by a Dungeon Master, you create characters and play their roles in a story, rolling dice and navigating maps as you unfold a tale as limitless as your imagination.    • Dungeons & Dragons is the world’s greatest roleplaying game. Created in 1974, D&D transformed gaming culture by blending traditional fantasy with miniatures and wargaming.",Activity & Game Books
16,"Dungeons &amp; Dragons Monster Manual (Core Rulebook, D&amp;D Roleplaying Game)",Wizards RPG Team,"Fill your Dungeons & Dragons games with deadly monsters from the Monster Manual. The Monster Manual teaches you how to how to fill your Dungeons & Dragons games with monsters—how to populate the game with pesky goblins and mighty dragons for players to battle or beguile, outwit or outrun.  Inside the Monster Manual you’ll find more than 150 classic D&D creatures, with vivid illustrations and rich descriptions to help breathe life into your zombies and liches. “…What if I told you about the best book of monsters ever? The 5E Monster Manual just might be the one...”—Ed Grabianowski, io9.Gizmodo.com “D&D acolytes are everywhere...Tech workers from Silicon Valley to Brooklyn have long-running campaigns, and the showrunners and the novelist behind ‘Game of Thrones’ have all been Dungeon Masters.”—Neima Jahromi, The New Yorker • The Monster Manual is one of the three main Dungeons & Dragons books, along with the Player’s Handbook and the Dungeon Master’s Guide. It’s an essential resource for Dungeon Masters to use in populating any type of challenge they might contrive for their players.  • From an angel’s wingspan to the vacant eyes of a zombie beholder, the Monster Manual includes more than 150 creatures illustrated in vivid color, with more than 400 quick reference tables to help you bring them to life with ease. • Rich descriptions of each monster help trigger your imagination. From the familiar (“vampires hate sunlight”) to the arcane (“what color is the vapor from a gorgon’s nose?”), the Monster Manual helps inspire your decisions and keep the game flowing smoothly. • In Dungeons & Dragons, you and your friends coauthor your own legend. Guided by a Dungeon Master, you create characters and play their roles in a story, rolling dice and navigating maps as you unfold a tale as limitless as your imagination.  • Dungeons & Dragons is the world’s greatest roleplaying game. Created in 1974, D&D transformed gaming culture by blending traditional fantasy with miniatures and wargaming.",Activity & Game Books
17,Bobby Fischer Teaches Chess,Bobby Fischer,"A one-of-a-kind masterclass in chess from the greatest player of all time.Learn how to play chess the Bobby Fischer way with the fastest, most efficient, most enjoyable method ever devised. Whether you’re just learning the game or looking for more complex strategies, these practice problems and exercises will help you master the art of the checkmate. This book teaches through a programmed learning method: It asks you a question. If you give the right answer, it goes on to the next question. If you give the wrong answer, it explains why the answer is wrong and asks you to go back and try again. Thanks to the book’s unique formatting, you will work through the exercises on the right-hand side, with the correct answer hidden on the next page. The left-hand pages are intentionally printed upside-down; after reaching the last page, simply turn the book upside-down and work your way back. When you finish, not only will you be a much better chess player, you may even be able to beat Bobby Fischer at his own game!",Activity & Game Books
18,The Anatomy Coloring Book,Wynn Kapit,"Why use this coloring book?   For more than 35 years, The Anatomy Coloring Book has been the #1 best-selling human anatomy coloring book! A useful tool for anyone with an interest in learning anatomical structures, this concisely written text features precise, extraordinary hand-drawn figures that were crafted especially for easy coloring and interactive study. Organized according to body systems, each of the 162 two-page spreads featured in this book includes an ingenious color-key system where anatomical terminology is linked to detailed illustrations of the structures of the body. When you color to learn with The Anatomy Coloring Book, you make visual associations with key terminology, and assimilate information while engaging in kinesthetic learning. Studying anatomy is made easy and fun!    The Fourth Edition features user-friendly two-page spreads with enlarged art, clearer, more concise text descriptions, and new boldface headings that make this classic coloring book accessible to a wider range of learners.",Activity & Game Books
19,Simon &amp; Schuster Mega Crossword Puzzle Book #1,John M. Samson (Editor),"The classic crossword series returns with 300 never-before-published puzzles!In 1924, Simon & Schuster published its first title, The Cross Word Puzzle Book. Not only was it the publisher's first release—it was the first collection of crossword puzzles ever printed. Today, more than eighty years later, the legendary Simon & Schuster Crossword Puzzle Book series maintains its status as the standard-bearer for cruciverbal excellence. This series continues to provide the freshest and most original puzzles on the market. Created by the best contemporary constructors—and edited by top puzzle master John M. Samson—these Sunday-sized brain breakers offer hours of stimulation for solvers of every level. With more puzzles than ever before in one volume, the Simon & Schuster Crossword Puzzle Book series will continue to test the knowledge of solvers everywhere. Can you take the challenge? Sharpen your pencils, grit your teeth, and find out!",Activity & Game Books
20,"399 Games, Puzzles &amp; Trivia Challenges Specially Designed to Keep Your Brain Young.",Nancy Linde,"Cross-train your brain. All it takes is ten to fifteen minutes a day of playing the right games. (It’s fun.) Exercising your brain is like exercising your body—with the right program, you can keep your brain young, strong, agile, and adaptable. Organized on an increasing scale of difficulty from “Warm-up” to “Merciless,” here are 399 puzzles, trivia quizzes, brainteasers, and word game that are both fun and engaging to play, and are expertly designed to give your brain the kind of workout that stimulates neurogenesis, the process of rejuvenating the brain by growing new brain cells. Target Six Key Cognitive Functions: 1. Long-Term Memory. 2. Working Memory. 3. Executive Functioning. 4. Attention to Detail. 5. Multitasking. 6. Processing Speed.",Activity & Game Books
21,"F*ck Off, I'm Coloring! Swear Word Coloring Book: 40 Cuss Words and Insults to Color &amp; Relax: Adult Coloring Books",Adult Coloring Books,"This beautiful coloring book features 40 creative and intricate designs with classic and wonderfully original insults, exclamations and swear words to help you relax and let go of the stressful situations in your life.TAGS: black coloring book, midnight coloring book, black adult coloring book, midnight adult coloring book, sweary coloring book, swear word coloring book, swear words adult coloring book, bullshit book, bullshit coloring book, james alexander, memos to shitty people, calm the fuck down, chill the fuck out, sasha o'hara, james alexander, christmas swear word coloring book swear word coloring book, swear word adult coloring book, sweary coloring book, adult coloring books, swearing coloring book, swear coloring book, jade summer, swear word coloring book, swear word adult coloring book, sweary coloring book, adult coloring books, swearing coloring book, swear coloring book",Activity & Game Books
22,New York Times Sunday Crossword Puzzles Volume 30,Will Shortz (Editor),"The biggest and best puzzles from the #1 name in crosswords!The Sunday New York Times crosswords are the most popular of the week. And in addition to forty-four of the regular, high-quality Sunday puzzles the Times is renowned for, this volume contains the six famous ""Millennium"" crosswords: the biggest puzzles the Times has ever published! They're each over 40% bigger than a regular Sunday and twice as big as a Daily puzzle and contain two complete sets of clues, Hard and Easy. They're like no other crossword you've ever seen, and editor Will Shortz is still deluged with requests to publish more. So prepare to dig in to the biggest, most puzzling crosswords that have ever appeared in The New York Times.- 50 of the world-famous Sunday crosswords- Six Bonus Millennium puzzles with two sets of clues-the largest crosswords ever to appear in the paper",Activity & Game Books
23,Beautiful Nature Coloring Book,Arcturus Publishing,"Choose from a selection of nearly 100 elegant designs in this nature-inspired coloring book, including speckled foxglove, feathery barn owns and shimmery scaled sea bass. Each of these artworks were originally drawn by some of the greatest botanical and nature artists of the 18th and 19th centuries, including John James Audubon, well known for his book, Birds of America, and Pierre-Joseph Redouté who was once the official botanical artist to Empress Joséphine of France. These full-color images are set alongside their equivalent black and white designs to provide inspiration. Relax and appreciate the spectacular colours of nature with this wonderful coloring book.",Activity & Game Books
24,Tattoos: Gorgeous coloring books with more than 120 illustrations to complete,Carlton Publishing Group,"Another addition to the bestselling Just Add Color adult coloring book series! Coloring has taken its place at the grown up's table as a legitimate form of artistic expression, right along with painting and drawing. In Tattoos, you'll be enthralled with hours of coloring fun as you create your own masterpiece out of these inspiring tattoo designs. This book offers more than 120 gorgeous pull-out illustrations ready to be brought to life, including tribal, nature, magical creatures, fairytales, script & lettering, and more. It's so relaxing and fun that even the most mature among us will want to run for the nearest box of colored pencils. Perfect to pull-out and frame, too!",Activity & Game Books
25,The Mindfulness Coloring Book: The Adult Coloring Book for Relaxation with Anti-Stress Nature Patterns and Soothing Designs,Emma Farrarons,"A fun and unique pocket-size coloring book designed to channel stress into relaxing, creative accomplishments #1 National Bestseller• NPR Books Bestseller• #1 Boston Globe Bestseller• #1 San Francisco Chronicle Bestseller• A Publishers Weekly Bestseller• 2016 Best Toy Award from Learning Express Reinforced binding with strong glue allows you to open and lay this book flat to color with intricate detail without breaking the spine. In today’s busy world, finding a moment of peace and calm can be a challenge. Mindful coloring is a simple yet powerful practice that combines the proven, time-honored tradition of thoughtful meditation with the growing popularity of adult coloring books, and shows that any activity, done right, can be an exercise in mindfulness. In The Mindfulness Coloring Book, accomplished illustrator Emma Farrarons presents 70 intricate and beguiling patterns to help you color your way to tranquility. Here are flowers, leaves, butterflies, and birds alongside rolling waves and kaleidoscopic designs. Perfectly sized to fit into a pocket or handbag, and printed on high-quality paper that will ensure hours of bliss, The Mindfulness Coloring Book is ready to help you de-stress wherever you go. So take a few minutes out of your hectic schedule to reset and refresh with mindful coloring—and relive the days when your biggest concern was staying within the lines!",Activity & Game Books
26,Xanathar's Guide to Everything,Wizards RPG Team,"Explore a wealth of new rules options for both players and Dungeon Masters in this supplement for the world’s greatest roleplaying game. The beholder Xanathar—Waterdeep’s most infamous crime lord—is known to hoard information on friend and foe alike. The beholder catalogs lore about adventurers and ponders methods to thwart them. Its twisted mind imagines that it can eventually record everything!   Xanathar's Guide to Everything is the first major expansion for fifth edition Dungeons & Dragons, offering new rules and story options:      • Over twenty-five new subclasses for the character classes in the Player’s Handbook, including the Cavalier for the fighter, the Circle of Dreams for the druid, the Horizon Walker for the ranger, and many more   • Dozens of new spells, a collection of racial feats, and a system to give your character a randomized backstory   • A variety of tools that provide Dungeon Masters fresh ways to use traps, magic items, downtime activities, and more—all designed to enhance a D&D campaign and push it in new directions  Amid all this expansion material, Xanathar offers bizarre observations about whatever its eyestalks happen to glimpse. Pray they don’t come to rest on you.   Beauty and guile are in the eyes of the beholder!",Activity & Game Books
27,"Netter's Anatomy Coloring Book (Second Edition, Updated) (Netter Basic Science Series)",John T. Hansen PhD,"Learn and master anatomy with ease, while having fun, through the unique approach of Netter's Anatomy Coloring Book, 2nd Edition. You can trace arteries, veins, and nerves through their courses and bifurcations...reinforce your understanding of muscle origins and insertions from multiple views and dissection layers...and develop a better understanding of the integration of individual organs in the workings of each body system throughout the human form. Whether you are taking an anatomy course or just curious about how the body works, let the art of Netter guide you!  Key Features Netter's Anatomy Coloring Book is a perfect companion to the Atlas of Human Anatomy by Frank H. Netter, MD as well as Netter's Anatomy Flash Cards and Netter's Clinical Anatomy textbook.Understand the correlation between structures. Outlines of Netter anatomical illustrations in multiple views, magnifications, and dissection layers, accompanied by high-yield information reinforce visual recognition and provide context.Master challenging structures through illustrations small enough for quick coloring, but large enough to provide you with important details.Facilitate learning by following tips for coloring key structures and quizzing yourself with end-of-section review questions.Quickly review key concepts with accompanying tables that review muscle attachments, innervation, and actions.Understand the role of anatomy in medicine through Clinical Notes which highlight examples.",Activity & Game Books
28,Violence. Speed. Momentum.,Dr Disrespect,"Too much power. Wow. Too much energy. Wow. Too much anticipation. WOW. It’s the new memoir from the biggest star in gaming: Dr Disrespect.Dr Disrespect is a 6-foot-8 freak of nature with a 37-inch vertical, the two-time, back-to-back 1993-94 Blockbuster Video Game Champion, and in his factual opinion, the most dominant international gaming superstar in the history of the world. It was just a matter of time before Western civilization came begging Doc to save literature by writing a memoir that reads like a vicious, muscular lion clawing his way through the rocks, roaring in anger and dominance. Here you will find his deepest, most intimate secrets. The untold history of his mysterious, legendary origins and his rise to unparalleled dominance. And most of all, you will find out what, exactly, Doc’s a doctor of.  Are you ready for a book with the rhythm of a sleazy ’70s muscleman and the ruthlessness of a ’90s serial killer? A journey that stares down the long, dark alley of your fears and never looks back? Does your warrior’s heart yearn to reach the tippity top of the mountain just to realize you’re still only halfway up?  If so, firm handshakes, Champion: Welcome to the salvation of literature.",Activity & Game Books
29,Dungeons &amp; Dragons Starter Set,Wizards RPG Team,"Everything you need to start playing the world’s greatest roleplaying game.  “I recommend [the D&D Starter Set] for anyone who’s curious and wants to learn D&D.”—Ed Grabionowski, io9.Gizmodo.com  The Dungeons & Dragons Starter Set is your gateway to action-packed stories of the imagination. This box contains the essential rules of the game plus everything you need to play heroic characters on perilous adventures in worlds of fantasy. Explore subterranean labyrinths! Plunder hoards of treasure! Battle legendary monsters! • FIVE READY-TO-PLAY CHARACTERS  • SIX DICE  • ONE ADVENTURE BOOK: LOST MINE OF PHANDELVER  • ONE RULEBOOK  • ONE CHARACTER SHEET  “D&D acolytes are everywhere. . .Tech workers from Silicon Valley to Brooklyn have long-running campaigns, and the showrunners and the novelist behind ‘Game of Thrones’ have all been Dungeon Masters.”—Neima Jahromi, The New Yorker  Dungeons & Dragons is the world’s greatest roleplaying game. Created in 1974, D&D transformed gaming culture by blending traditional fantasy with miniatures and wargaming. The main Dungeons & Dragons books are the Player’s Handbook, Monster Manual, and Dungeon Master’s Guide.",Activity & Game Books
30,The Complete Book of Chess Strategy: Grandmaster Techniques From A to Z,Jeremy Silman,"The Complete Book of Chess Strategy has sold over 100,000 copies.  An easy-to-understand guide to chess strategy—conceptual planning—has always been the amateur’s dream. The Complete Book of Chess Strategy makes that dream a reality. This comprehensive guide in dictionary form, the first of its kind, makes all aspects of chess strategy quick, easy, and painlessly accessible to players of all degrees of strength. Each strategic concept is listed alphabetically and followed by a clear, easy-to-absorb explanation accompanied by examples of how this strategy is used in practice.  World Champions such as Steinitz, Capablanca, Petrosian, Fischer, and Karpov have used these strategies in virtually all of their games. Now you can arm yourself with their weapons. As you incorporate these weapons into your own play, they will enrich your appreciation of the game and lead you to one beautiful victory after another.",Activity & Game Books
