title,author,overview,subject
We Shall Rise,John Ringo,"The world has been brought to its knees by the ""zombie virus."" Nations have fallen, cities have been overrun by the infected, and the human race has come perilously close to extinction. But with the first winter come and gone, the infected have been reduced to not much more than a background nuisance, and survivors around the world are taking stock and vowing to rebuild and rise up stronger, better, and unafraid.All-new stories from New York Times best-selling author John Ringo's ""Black Tide Rising"" series:Kevin J. AndersonBrendon DuBoisJody Lynn NyeMichael Z. WilliamsonKacey EzellMike MassaChristoper L. SmithLydia SherrerJason CordovaBrian TrentPatrick VannerJamie IbsonAt the publisher's request, this title is sold without DRM (Digital Rights Management).About the Black Tide Rising Series:""Not only has Ringo found a mostly unexplored corner of the zombie landscape, he's using the zombie frame to tackle a broader theme: the collapse and rebirth of civilization. The zombie scenes are exciting, sure, but its the human story that keeps us involved. A fine series.""—Booklist",Science Fiction & Fantasy
Beyond,Mercedes Lackey,"The long-awaited founding of Valdemar comes to life in this new series from a New York Times bestselling author and beloved fantasist. Within the Eastern Empire, Duke Kordas Valdemar rules a tiny, bucolic Duchy that focuses mostly on horse breeding. Anticipating the day when the Empire’s exploitative and militant leaders would not be content to leave them alone, Korda’s father set out to gather magicians in the hopes of one day finding a way to escape and protect the people of the Duchy from tyranny.   Kordas has lived his life looking over his shoulder. The signs in the Empire are increasingly dire. Under the direction of the Emperor, mages have begun to harness the power of dark magics, including blood magic, the powers of the Abyssal Planes, and the binding and ""milking"" of Elemental creatures.     But then one of the Duchy’s mages has a breakthrough. There is a way to place a Gate at a distance so far from the Empire that it is unlikely the Emperor can find or follow them as they evacuate everyone that is willing to leave.   But time is running out, and Kordas has been summoned to the Emperor's Court.   Can his reputation as a country bumpkin and his acting skills buy him and his people the time they need to flee?  Or will the Emperor lose patience, invade to strip Valdemar of everything of worth, and send its conscripted people into the front lines of the Imperial wars?",Science Fiction & Fantasy
The City We Became,N. K. Jemisin,"Three-time Hugo Award-winning and New York Times bestselling author N.K. Jemisin crafts her most incredible novel yet, a ""glorious"" story of culture, identity, magic, and myths in contemporary New York City. In Manhattan, a young grad student gets off the train and realizes he doesn't remember who he is, where he's from, or even his own name. But he can sense the beating heart of the city, see its history, and feel its power. In the Bronx, a Lenape gallery director discovers strange graffiti scattered throughout the city, so beautiful and powerful it's as if the paint is literally calling to her. In Brooklyn, a politician and mother finds she can hear the songs of her city, pulsing to the beat of her Louboutin heels. And they're not the only ones. Every great city has a soul. Some are ancient as myths, and others are as new and destructive as children. New York? She's got six.For more from N. K. Jemisin, check out: The Inheritance TrilogyThe Hundred Thousand KingdomsThe Broken KingdomsThe Kingdom of Gods The Inheritance Trilogy (omnibus edition)Shades in Shadow: An Inheritance Triptych (e-only short fiction)The Awakened Kingdom (e-only novella) Dreamblood DuologyThe Killing MoonThe Shadowed Sun The Dreamblood Duology (omnibus) The Broken EarthThe Fifth SeasonThe Obelisk GateThe Stone Sky How Long 'til Black Future Month? (short story collection)""A glorious fantasy."" —Neil Gaiman",Science Fiction & Fantasy
Monster Hunter Bloodlines,Larry Correia,"IN A BUSINESS LIKE MONSTER HUNTING, IT'S ALL ABOUT SETTING PRIORITIESThe chaos god Asag has been quiet since the destruction of the City of Monsters, but Monster Hunter International know that he is still out there, somewhere—plotting, waiting for his chance to unravel reality.When Owen and the MHI team discover that one of Isaac Newton's Ward Stones is being auctioned off by Reptoids who live deep beneath Atlanta, they decide to steal the magical superweapon and use it to destroy Asag once and for all. But before the stone can be handed off, it is stolen by a mysterious thief with ties to MHI and the Vatican's Secret Guard.It's a race against time, the Secret Guard, a spectral bounty hunter, and a whole bunch of monsters to acquire the Ward Stone and use it against Asag. For as dangerous as the chaos god is, there is something much older—and infinitely more evil—awakening deep in the jungles of South America.At the publisher's request, this title is sold without DRM (Digital Rights Management).About Larry Correia and the Monster Hunter International series:""[E]verything I like in fantasy: intense action scenes, evil in horrifying array, good struggling against the darkness, and most of all people—gorgeously flawed human beings faced with horrible moral choices that force them to question and change and grow."" —Jim Butcher""[A] no-holds-barred all-out page turner that is part science fiction, part horror, and an absolute blast to read."" —BookReporter.com""If you love monsters and action, you'll love this book. If you love guns, you'll love this book. If you love fantasy, and especially horror fantasy, you'll love this book."" —Knotclan.com""A gun person who likes science fiction—or, heck, anyone who likes science fiction—will enjoy [these books] . . . The plotting is excellent, and Correia makes you care about the characters . . . I read both books without putting them down except for work . . . so whaddaya waitin' for? Go and buy some . . . for yourself and for stocking stuffers."" —Massad Ayoob""This lighthearted, testosterone-soaked sequel to 2009's Monster Hunter International will delight fans of action horror with elaborate weaponry, hand-to-hand combat, disgusting monsters, and an endless stream of blood and body parts."" —Publishers Weekly on Monster Hunter Vendetta",Science Fiction & Fantasy
War of the Crown: An Epic Fantasy Novel,Paul J. Bennett,"The secret to their future lies in the past.War rages on, stretching the Army of Merceria to the breaking point. Even with Norland armies marching in the north, their capital proves the tougher challenge, leaving Gerald no choice but to split his army.Meanwhile, devastated by the loss of its king, Weldwyn desperately struggles to marshal enough forces to repel the inevitable invasion from their greatest rival. Seizing the opportunity, the Twelve Clans flood across the border, confident that this time they will fulfill their destiny.Now, as conflict sweeps across the lands, the Dark Queen finally unleashes her ruthless fury. Can the youngest kingdom defeat humanity's oldest foe?Join Anna and Gerald as they struggle to save the kingdom they have spent so many years building as the Heir to the Crown series continues in Book Nine, War of the Crown.Prepare to engage in battle as you unsheathe War of the Crown.New to the series? Meet Gerald Matheson, the steadfast warrior in Servant of the Crown, Heir to the Crown: Book One, available in eBook, Audiobook, and Paperback.What readers are saying about Paul J Bennett's books:★★★★★ - ""Fantastic Fantasy""★★★★★ - ""Fabulously written, loved it.""★★★★★ - ""Another excellent book series!!""★★★★★ - ""Wow! Best book I've read in a LONG time!""★★★★★ -""Thoroughly absorbing, exciting and mystical""★★★★★ - ""If you like fantasy fiction, then this is a must-read!""★★★★★ - ""This story gripped me and kept me turning the pages.""★★★★★ - ""Action, Intrigue, Adventure, Romance and some twists!""★★★★★ - ""I love the book, had me on edge and could not put it down!""★★★★★ - ""The most amazing adventure with a strong magical influence.""★★★★★  - ""The characters you love in the books come to life in such a fabulous way""★★★★★ - ""The tale flows effortlessly along, blending action, adventure and heartwarming scenes.""★★★★★ - ""It's really difficult to stop reading these books. Looking forward to more books from this author.""Other Books by Paul J BennettHeir to the Crown Series:Battle at the River - PrequelServant of the CrownSword of the CrownMercerian Tales: Stories of the PastHeart of the CrownShadow of the CrownMercerian Tales: The Call of MagicFate of the CrownBurden of the CrownMercerian Tales: The Making of a ManDefender of the CrownFury of the CrownWar of the CrownTriumph of the CrownThe Frozen Flame Series:The Awakening/Into the Fire - PrequelsAshesEmbersFlamesInfernoFrostPower Ascending Series:Tempered Steel - PrequelTemple KnightWarrior KnightTemple CaptainWarrior LordThe Chronicles of Cyric:Into the Maelstrom - PrequelA Midwinter MurderThe Beast of Brunhausen",Science Fiction & Fantasy
The Crystal Kingdom (B&amp;N Exclusive Edition) (The Adventure Zone Series #4),Clint McElroy,"Found only at Barnes & Noble, this exclusive edition includes four collectible metallic stamped trading cards including Magnus, Merle, Taako, and Kravitz. Based on the blockbuster podcast where the McElroy brothers and their dad play a tabletop RPG and illustrated by cartooning powerhouse Carey Pietsch, The Adventure Zone: The Crystal Kingdom takes this #1 New York Times bestselling series to haunting new heights.A desperate call for help interrupts holiday celebrations at the Bureau of Balance, and sends Taako, Magnus and Merle on a high-stakes mission to find and Reclaim a fourth deadly relic: a powerful transmutation stone, hidden somewhere in the depths of a floating arcane laboratory that’s home to the Doctors Maureen and Lucas Miller. An unknown menace has seized control of the stone, and is using it to transform the lab into a virulent pink crystal that spreads to everything it touches. It’s only a matter of time before this sparkling disaster crash-lands, but in order to find the stone and save the whole planet from being King Midased, our heroes will have to fight their way through a gauntlet of rowdy robots and crystal golems, decide whether they can trust the evasive Lucas Miller, and solve the mystery of what—or who—has put them all in peril, before there’s no world left to save.",Science Fiction & Fantasy
The Desert Prince,Peter V. Brett,"A brand-new epic fantasy adventure set in the beloved world of the Demon Cycle, following a new generation of heroes, from New York Times bestselling author Peter V. Brett “Heart-wrenching, smart, and modern . . . The Desert Prince has set a new standard for fantasy.”—Wesley Chu, #1 New York Times bestselling author of The War Arts SagaFifteen years have passed since the end of the war with demons, creatures of darkness who have hunted the night and plagued humanity since time out of mind. The heroes of humanity’s hour of need have become legend, and those who remain struggle to escape their shadows. Olive Paper and Darin Bales have grown up in this new peaceful world. Demons have been all but destroyed, but dangers still lurk for the children of heroes. Olive, Princess of Hollow, has her entire life planned out by her mother, Duchess Leesha Paper: a steady march on a checklist to prepare her for succession. The more her mother writes the script, the more Olive rails against playing the parts she is assigned. Darin faces challenges of a different kind. Though free to choose his own path, the weight of legacy hangs heavy around his shoulders. It isn’t easy being the son of the man people say saved the world. Everyone expects greatness from Darin, but the only thing he’s ever been great at is hiding. But when Olive and Darin step across the wards one night, they learn the demons are not all gone, and those that remain hunger for revenge. Events are set in motion that only prophecy can foresee as Olive and Darin seek to find their own places in the world in time to save it again.",Science Fiction & Fantasy
Nolyn,Michael J. Sullivan,"After more than five hundred years of exile, the heir to the empyre is wary about his sudden reassignment to active duty on the Goblin War’s front lines. His assignment to rescue an outpost leads to a dead-end canyon deep inside enemy territory, and his suspicion turns to dread when he discovers the stronghold does not exist. But whoever went to the trouble of planning his death to look like a casualty of war did not know he would be assigned to the Seventh Sikaria Auxiliary Squadron. In the depths of an unforgiving jungle, a legend is about to be born, and the world of Elan will never be the same.From Michael J. Sullivan, the New York Times, USA Today, and Washington Post bestselling author, a new adventure begins with the first book in The Rise and Fall trilogy. Although this series is set in the same world as the Riyria novels and the Legends of the First Empire books, it is a standalone tale. As such, no prior kn",Science Fiction & Fantasy
For the Wolf,Hannah Whitten,"AN INSTANT NEW YORK TIMES BESTSELLER!The first daughter is for the Throne.The second daughter is for the Wolf.For fans of Uprooted and The Bear and the Nightingale comes a dark, sweeping debut fantasy novel about a young woman who must be sacrificed to the legendary Wolf of the Wood to save her kingdom. But not all legends are true, and the Wolf isn't the only danger lurking in the Wilderwood.As the only Second Daughter born in centuries, Red has one purpose—to be sacrificed to the Wolf in the Wood in the hope he'll return the world's captured gods.Red is almost relieved to go. Plagued by a dangerous power she can't control, at least she knows that in the Wilderwood, she can't hurt those she loves. Again.But the legends lie. The Wolf is a man, not a monster. Her magic is a calling, not a curse. And if she doesn't learn how to use it, the monsters the gods have become will swallow the Wilderwood—and her world—whole.""A brilliant dark fantasy debut!"" —Jodi Picoult, NYT bestselling author",Science Fiction & Fantasy
Inker and Crown,Megan O'russell,Ilbrea: A magnificent country that offers fame to those brave enough to seize their place among the Guilds—no one has worked harder to find their scrap of glory than Adrial Ayres. But being a prodigy and the Lord Scribe's heir won't be enough to find the secrets the Guilds would kill to hide. Adrial can't face the dangers of hidden magic alone...A sailor with a taste for adventure.A soldier whose heart has been claimed.A beauty they will never suspect.A map maker with secrets of their own.An inker who will change Adrial's life forever.The Guilds offer glory. The truth promises death. Adrial might be the only one who can save Ilbrea—if he can survive the shadows long enough to discover his true enemy.,Science Fiction & Fantasy
The Dragon Corps Books 1-4,Natalie Grey,"As commander of one of the most decorated Dragon teams in history, Talon Rift has taken down the worst humanity has to offer—slave traders, terrorists, arms traffickers, and more.But one of his quarries has always eluded him: the Warlord of Ymir, the man who marched an army of mercenaries onto a planet decades ago and has held it ever since. Taking the Warlord down with a team of 16 is a suicidal idea...But Dragons aren't known for their good sense of self-preservation. They're known for doing whatever it takes.",Science Fiction & Fantasy
A Touch of Malice,Scarlett St. Clair,"Persephone and Hades are engaged. In retaliation, Demeter summons a snowstorm that cripples New Greece, and refuses to lift the blizzard unless her daughter calls off her engagement. When the Olympians intervene, Persephone finds her future in the hands of ancient gods, and they are divided. Do they allow Persephone to marry Hades and go to war with Demeter or prohibit their union and take up arms against the God of the Dead?Nothing is certain but the promise of war.",Science Fiction & Fantasy
Cast in Conflict,Michelle  Sagara,"KEEP YOUR FRIENDS CLOSE, AND YOUR ENEMIES CLOSERA Dragon and ten Barrani wouldn’t be anyone’s ideal roommates if a person wants peace and tranquility at home. The residue of three Draco-Barrani wars can make things pretty awkward—on a good day. Kaylin Neya has run out of good days.In the upheaval surrounding the Academia, the Tower in the fief of Candallar is now without its lord. The Towers were created to protect Elantra against Shadow. Dragon Bellusdeo wants to captain the Tower and continue a war she’ll never be able to abandon. But Sedarias, leader of the Barrani cohort, wants the Tower for the cohort. And Barrani and Dragons don’t negotiate, even when they’re living under the same roof.If there were ever a time for Shadow to strike, it’s now, when alliances are fractured and the Tower is vulnerable for the first time in centuries. More than ever, Kaylin needs her friends to work together if they’re going to be able to stop the threat to Elantra.",Science Fiction & Fantasy
Black Sun,Rebecca Roanhorse,"From the New York Times bestselling author of Star Wars: Resistance Reborn comes the “engrossing and vibrant” (Tochi Onyebuchi, author of Riot Baby) first book in the Between Earth and Sky trilogy inspired by the civilizations of the Pre-Columbian Americas and woven into a tale of celestial prophecies, political intrigue, and forbidden magic.A god will return When the earth and sky converge Under the black sun In the holy city of Tova, the winter solstice is usually a time for celebration and renewal, but this year it coincides with a solar eclipse, a rare celestial even proscribed by the Sun Priest as an unbalancing of the world. Meanwhile, a ship launches from a distant city bound for Tova and set to arrive on the solstice. The captain of the ship, Xiala, is a disgraced Teek whose song can calm the waters around her as easily as it can warp a man’s mind. Her ship carries one passenger. Described as harmless, the passenger, Serapio is a young man, blind, scarred, and cloaked in destiny. As Xiala well knows, when a man is described as harmless, he usually ends up being a villain. Crafted with unforgettable characters, Rebecca Roanhorse has created a “brilliant world that shows the full panoply of human grace and depravity” (Ken Liu, award-winning author of The Grace of Kings). This epic adventure explores the decadence of power amidst the weight of history and the struggle of individuals swimming against the confines of society and their broken pasts in this “absolutely tremendous” (S.A. Chakraborty, nationally bestselling author of The City of Brass) and most original series debut of the decade.",Science Fiction & Fantasy
Governor,Richard Fox,"For more than fifty years, the Terran Republic and the Terran League have been killing one another. The death toll has climbed ever higher, year after year, with no end in sight. But the members of the Five Hundred, the social elite of the Republic's Heart Worlds, don't care.Rear Admiral Terrence Murphy is a Heart Worlder. His family is part of the Five Hundred. His wife is the daughter of one of the Five Hundred's wealthiest, most powerful industrialists. His sons and his daughter can easily avoid military service, and political power is his for the taking. There is no end to how high he can rise in the Republic's power structure.All he has to do is successfully complete a risk-free military ""governorship"" in the backwater Fringe System of New Dublin without rocking the boat. But the people sending him to New Dublin have miscalculated, because Terrence Murphy is a man who believes in honor. Who believes in duty—in common decency and responsibility. Who believes there are dark and dangerous secrets behind the façade of what ""everyone knows.""Terrence Murphy intends to meet those responsibilities, to unearth those secrets, and he doesn't much care what the Five Hundred want. He intends to put a stop to the killing.Terrence Murphy is coming for whoever has orchestrated fifty-six years of bloodshed and slaughter, and Hell itself is coming with him.At the publisher's request, this title is sold without DRM (Digital Rights Management).About The Gordian Protocol:""Tom Clancy-esque exposition of technical details . . . absurd humor and bloody action. Echoes of Robert Heinlein . . . lots of exploding temporal spaceships and bodies . . . action-packed . . ."" —Booklist""[A] fun and thrilling standalone from Weber and Holo. . . . Time travel enthusiasts will enjoy the moral dilemmas, nonstop action, and crisp writing.""—Publishers Weekly",Science Fiction & Fantasy
Hex on the Beach,Melissa Marr,"Girls Night Out has never been so much fun--but what are they going to do with all these bodies? New York Times and USA Today Bestselling Authors Kelley Armstrong, Jeaniene Frost, and Melissa Marr deliver a sexy summer read with this novel-length anthology containing three all-new stories from their Cursed Luck, Night Huntress, and Faery Bargains worlds. Kennedy, Cat, and Gen are just trying to enjoy their respective getaways, but when immortals, vampires, and witches come out to play, things are bound to go awry. Let the supernatural hijinks begin!",Science Fiction & Fantasy
Capture the Crown,Jennifer Estep,"Bestselling author Jennifer Estep returns to her Crown of Shards world with an all-new trilogy and a bold new heroine who protects her kingdom from magic, murder, and mayhem by moonlighting as a spy. Gemma Ripley has a reputation for being a pampered princess who is more interested in pretty gowns, sparkling jewelry, and other frivolous things than learning how to rule the kingdom of Andvari. But her carefully crafted persona is just an act to hide the fact that Gemma is a powerful mind magier—and a spy.  Gemma is undercover, trying to figure out who is stealing large amounts of tearstone from one of the Ripley royal mines when she encounters Prince Leonidas Morricone of Morta—her mortal enemy. Gemma tries to steer clear of the handsome prince, but when she finds herself behind enemy lines, she reluctantly joins forces with Leo. Also coming to Gemma’s aid is Grimley, her beloved gargoyle. Despite the fact that Andvari and Morta are old, bitter enemies, a dangerous attraction sparks between Gemma and Leo. Further complicating matters is Leo’s murderous family, especially Queen Maeven Morricone, the mastermind behind the infamous Seven Spire massacre.  The closer Gemma gets to the stolen tearstone, the more deadly plots she uncovers. Everyone is trying to capture the crown, but only one queen can sit on the throne …",Science Fiction & Fantasy
