title,author,overview,subject
'Salem's Lot,Stephen King,"Ben Mears has returned to Jerusalem’s Lot in hopes that exploring the history of the Marsten House, an old mansion long the subject of rumor and speculation, will help him cast out his personal devils and provide inspiration for his new book. But when two young boys venture into the woods, and only one returns alive, Mears begins to realize that something sinister is at work—in fact, his hometown is under siege from forces of darkness far beyond his imagination. And only he, with a small group of allies, can hope to contain the evil that is growing within the borders of this small New England town.With this, his second novel, Stephen King established himself as an indisputable master of American horror, able to transform the old conceits of the genre into something fresh and all the more frightening for taking place in a familiar, idyllic locale.",Horror
Home Before Dark,Riley Sager,"In the latest thriller from New York Times bestseller Riley Sager, a woman returns to the house made famous by her father’s bestselling horror memoir. Is the place really haunted by evil forces, as her father claimed? Or are there more earthbound—and dangerous—secrets hidden within its walls?What was it like? Living in that house.Maggie Holt is used to such questions. Twenty-five years ago, she and her parents, Ewan and Jess, moved into Baneberry Hall, a rambling Victorian estate in the Vermont woods. They spent three weeks there before fleeing in the dead of night, an ordeal Ewan later recounted in a nonfiction book called House of Horrors. His tale of ghostly happenings and encounters with malevolent spirits became a worldwide phenomenon, rivaling The Amityville Horror in popularity—and skepticism.Today, Maggie is a restorer of old homes and too young to remember any of the events mentioned in her father's book. But she also doesn’t believe a word of it. Ghosts, after all, don’t exist. When Maggie inherits Baneberry Hall after her father's death, she returns to renovate the place to prepare it for sale. But her homecoming is anything but warm. People from the past, chronicled in House of Horrors, lurk in the shadows. And locals aren’t thrilled that their small town has been made infamous thanks to Maggie’s father. Even more unnerving is Baneberry Hall itself—a place filled with relics from another era that hint at a history of dark deeds. As Maggie experiences strange occurrences straight out of her father’s book, she starts to believe that what he wrote was more fact than fiction.",Horror
If It Bleeds,Stephen King,"*#1 NEW YORK TIMES BESTSELLER* From the legendary storyteller and master of short fiction Stephen King comes an extraordinary collection of four new “exceptionally compelling novellas that reaffirm [King’s] mastery of the form” (The Washington Post).Readers adore Stephen King’s novels, and his novellas are their own dark treat, briefer but just as impactful and enduring as his longer fiction. Many of his novellas have been made into iconic films, including “The Body” (Stand By Me) and “Rita Hayworth and Shawshank Redemption” (Shawshank Redemption). Four brilliant new tales in If It Bleeds are sure to prove as iconic as their predecessors. Once again, King’s remarkable range is on full display. In the title story, reader favorite Holly Gibney (from the Mr. Mercedes trilogy and The Outsider) must face her fears, and possibly another outsider—this time on her own. In “Mr. Harrigan’s Phone” an intergenerational friendship has a disturbing afterlife. “The Life of Chuck” explores, beautifully, how each of us contains multitudes. And in “Rat,” a struggling writer must contend with the darker side of ambition. If these novellas show King’s range, they also prove that certain themes endure. One of King’s great concerns is evil, and in If It Bleeds, there’s plenty of it. There is also evil’s opposite, which in King’s fiction often manifests as friendship. Holly is reminded that friendship is not only life-affirming but can be life-saving. Young Craig befriends Mr. Harrigan, and the sweetness of this late-in-life connection is its own reward. “Exactly what I wanted to read right now,” said Ruth Franklin in a rave on the cover of The New York Times Book Review. “Phenomenal,"" said Brian Truitt in USA TODAY. “King still owns the fright business like none other.”",Horror
Cold Storage,David Koepp,"""On every level, Cold Storage is pure, unadulterated entertainment."" —Douglas Preston, The New York Times Book ReviewFor fans of The Martian, Dark Matter, and Before the Fall comes an astonishing debut thriller by the screenwriter of Jurassic Park: a wild and terrifying bioterrorism adventure about three strangers who must work together to contain a highly contagious, deadly organism that could destroy all of humanity.They thought it was contained. They were wrong.When Pentagon bioterror operative Roberto Diaz was sent to investigate a suspected biochemical attack, he found something far worse: a highly mutative organism capable of extinction-level destruction. He contained it and buried it in cold storage deep beneath a little-used military repository.Now, after decades of festering in a forgotten sub-basement, the specimen has found its way out and is on a lethal feeding frenzy.  Only Diaz knows how to stop it.He races across the country to help two unwitting security guards—one an ex-con, the other a single mother.  Over one harrowing night, the unlikely trio must figure out how to quarantine this horror again.  All they have is luck, fearlessness, and a mordant sense of humor.  Will that be enough to save all of humanity?",Horror
The Only Good Indians,Stephen Graham Jones,"A NEW YORK TIMES BESTSELLER From USA TODAY bestselling author Stephen Graham Jones comes a “masterpiece” (Locus Magazine) of a novel about revenge, cultural identity, and the cost of breaking from tradition. Labeled “one of 2020’s buzziest horror novels” (Entertainment Weekly), this is a remarkable horror story that “will give you nightmares—the good kind of course” (BuzzFeed).From New York Times bestselling author Stephen Graham Jones comes a novel that is equal parts psychological horror and cutting social commentary on identity politics and the American Indian experience. Fans of Jordan Peele and Tommy Orange will love this story as it follows the lives of four American Indian men and their families, all haunted by a disturbing, deadly event that took place in their youth. Years later, they find themselves tracked by an entity bent on revenge, totally helpless as the culture and traditions they left behind catch up to them in a violent, vengeful way.",Horror
False Memory: A Novel,Dean Koontz,NEW YORK TIMES BESTSELLER   No fan of Dean Koontz or of psychological suspense will want to miss  this extraordinary novel of the human mind’s capacity to torment—and  destroy—itself.   It’s a fear more paralyzing than falling. More  terrifying than absolute darkness. More horrifying than anything you  can imagine. It’s the one fear you cannot escape no matter where you run  . . . no matter where you hide.   It’s the fear of yourself. It’s real. It can happen to you. And facing it can be deadly.   False Memory . . . Fear for your mind.BONUS: This edition contains an excerpt from Dean Koontz's The City.,Horror
Hunting Ground (Alpha and Omega Series #2),Patricia Briggs,"#1 New York Times bestselling author Patricia Briggs invites readers to follow her into the seductive realm of the Alpha and Omega series…  Anne Latham didn't know how complicated life could be until she became a werewolf and was mated to Charles Cornick, the son—and enforcer—of the leader of the North American werewolves. She didn't know how dangerous it could be either...  Anna and Charles have just been enlisted to attend a summit to present Bran's controversial proposition: that the wolves should finally reveal themselves to humans. But the most feared Alpha in Europe is dead set against the plan—and it seems like someone else might be, too. When Anna is attacked by vampires using pack magic, the kind of power only werewolves should be able to draw on, Charles and Anna must combine their talents to hunt down whoever is behind it all—or risk losing everything...",Horror
Ghost Story,Peter Straub,"#1 New York Times bestselling author Peter Straub’s classic tale of horror, secrets, and the dangerous ghosts of the past...   What was the worst thing you’ve ever done?   In the sleepy town of Milburn, New York, four old men gather to tell each other stories—some true, some made-up, all of them frightening. A simple pastime to divert themselves from their quiet lives.   But one story is coming back to haunt them and their small town. A tale of something they did long ago. A wicked mistake. A horrifying accident. And they are about to learn that no one can bury the past forever...",Horror
The Chill,Scott Carson,"National Bestseller A supernatural force—set in motion a century ago—threatens to devastate New York City in this “terrific horror/suspense/disaster novel” that “grips from the first page” (Stephen King, #1 New York Times bestselling author).Far upstate, in New York’s ancient forests, a drowned village lays beneath the dark, still waters of the Chilewaukee reservoir. Early in the 20th century, the town was destroyed for the greater good: bringing water to the millions living downstate. Or at least that’s what the politicians from Manhattan insisted at the time. The local families, settled there since America’s founding, were forced from their land, but some didn’t leave… Now, a century later, the repercussions of human arrogance are finally making themselves known. An inspector assigned to oversee the dam, dangerously neglected for decades, witnesses something inexplicable. It turns out that more than the village was left behind in the waters of the Chill when it was abandoned. A dark prophecy remained, too, and the time has come for it to be fulfilled—for sacrifices must be made. And as the dark waters begin to inexorably rise, the demand for a fresh sacrifice emerges from the deep… “A must read for fans of eerie, gripping storytelling” (Dean Koontz, #1 New York Times bestselling author), The Chill is “a creepy tale of supernatural terror” (Publishers Weekly, starred review).",Horror
Deadly Night,Heather Graham,"Deadly NightHeather GrahamAidan Flynn, a private investigator and eldest of the Flynn brothers, scoffs at the haunted–house rumours – especially since Kendall Montgomery, a tarot card reader who has been living in the mansion, is the one to tell him the tale of a woman in white. But when he finds a human bone on the grounds and another by the river, Aidan delves into the dark history of the Flynn plantation. Forced together to uncover the truth, Aidan and Kendall realise that a serial killer whose victims seem to vanish into thin air has long been at work... and that their own fates are about to be sealed forever unless they believe in the unbelievable.",Horror
Fair Game (Alpha and Omega Series #3),Patricia Briggs,"#1 New York Times bestselling author Patricia Briggs' third Alpha and Omega novel brings werewolves out of the darkness and into a society where fear and prejudice could turn the hunters into the prey… It is said that opposites attract. And in the case of werewolves Anna Latham and Charles Cornick, they mate. The son—and enforcer—of the leader of the North American werewolves, Charles is a dominant Alpha. While Anna, an Omega, has the rare ability to calm others of her kind. When the FBI requests the pack’s help on a local serial-killer case, Charles and Anna are sent to Boston to join the investigation. It soon becomes clear that someone is targeting the preternatural. And now Anna and Charles have put themselves right in the killer’s sights...",Horror
The Twenty Days of Turin,Giorgio De Maria,"An NPR Best Book of the Year Written during the height of the 1970s Italian domestic terror, a cult novel, with distinct echoes of Lovecraft and Borges, makes its English-language debut. In the spare wing of a church-run sanatorium, some zealous youths create ""the Library,"" a space where lonely citizens can read one another’s personal diaries and connect with like-minded souls in ""dialogues across the ether."" But when their scribblings devolve into the ugliest confessions of the macabre, the Library’s users learn too late that a malicious force has consumed their privacy and their sanity. As the city of Turin suffers a twenty-day ""phenomenon of collective psychosis"" culminating in nightly massacres that hundreds of witnesses cannot explain, the Library is shut down and erased from history. That is, until a lonely salaryman decides to investigate these mysterious events, which the citizenry of Turin fear to mention. Inevitably drawn into the city’s occult netherworld, he unearths the stuff of modern nightmares: what’s shared can never be unshared. An allegory inspired by the grisly neo-fascist campaigns of its day, The Twenty Days of Turin has enjoyed a fervent cult following in Italy for forty years. Now, in a fretful new age of ""lone-wolf"" terrorism fueled by social media, we can find uncanny resonances in Giorgio De Maria’s vision of mass fear: a mute, palpitating dread that seeps into every moment of daily existence. With its stunning anticipation of the Internet—and the apocalyptic repercussions of oversharing—this bleak, prescient story is more disturbingly pertinent than ever. Brilliantly translated into English for the first time by Ramon Glazov, The Twenty Days of Turin establishes De Maria’s place among the literary ranks of Italo Calvino and beside classic horror masters such as Edgar Allan Poe and H. P. Lovecraft. Hauntingly imaginative, with visceral prose that chills to the marrow, the novel is an eerily clairvoyant magnum opus, long overdue but ever timely.",Horror
The House by the Cemetery,John Everson,"""The House by the Cemetery involves everything that a horror aficionado could ever want—an undead witch, comic relief, a haunted house dedicated to obscure and not-so obscure horror films, and lots and lots of gore…Indeed, The House by the Cemetery could easily be transcribed into an action-packed screenplay"" - The New York Journal of BooksRumor has it that the abandoned house by the cemetery is haunted by the ghost of a witch. But rumors won’t stop carpenter Mike Kostner from rehabbing the place as a haunted house attraction. Soon he’ll learn that fresh wood and nails can’t keep decades of rumors down. There are noises in the walls, and fresh blood on the floor: secrets that would be better not to discover. And behind the rumors is a real ghost who will do whatever it takes to ensure the house reopens. She needs people to fill her house on Halloween. There’s a dark, horrible ritual to fulfill. Because while the witch may have been dead... she doesn’t intend to stay that way.FLAME TREE PRESS is the new fiction imprint of Flame Tree Publishing. Launching in 2018 the list brings together brilliant new authors and the more established; the award winners, and exciting, original voices.",Horror
Final Girls,Riley Sager,"THE NATIONAL AND INTERNATIONAL BESTSELLER  “If you liked Gone Girl, you’ll like this.”—Stephen King   Ten years ago, six friends went on vacation. One made it out alive….   In that instant, college student Quincy Carpenter became a member of a very exclusive club—a group of survivors the press dubbed “The Final Girls”: Lisa, who lost nine sorority sisters to a college dropout's knife; Sam, who endured the Sack Man during her shift at the Nightlight Inn; and now Quincy, who ran bleeding through the woods to escape the massacre at Pine Cottage. Despite the media's attempts, the three girls have never met.   Now, Quincy is doing well—maybe even great, thanks to her Xanax prescription. She has a caring almost-fiancé; a popular baking blog; a beautiful apartment; and a therapeutic presence in Coop, the police officer who saved her life. Her mind won’t let her recall the events of that night; the past is in the past…until the first Final Girl is found dead in her bathtub and the second Final Girl appears on Quincy's doorstep.    Blowing through Quincy's life like a hurricane, Sam seems intent on making her relive the trauma of her ordeal. When disturbing details about Lisa's death emerge, Quincy desperately tries to unravel Sam's truths from her lies while evading both the police and bloodthirsty reporters. Quincy knows that in order to survive she has to remember what really happened at Pine Cottage.    Because the only thing worse than being a Final Girl is being a dead one.   WINNER OF THE 2018 INTERNATIONAL THRILLER WRITERS AWARD FOR BEST HARDCOVER NOVEL",Horror
The Outsider,Stephen King,"Now an HBO limited series starring Ben Mendelsohn!​ Evil has many faces…maybe even yours in this #1 New York Times bestseller from master storyteller Stephen King. An eleven-year-old boy’s violated corpse is discovered in a town park. Eyewitnesses and fingerprints point unmistakably to one of Flint City’s most popular citizens—Terry Maitland, Little League coach, English teacher, husband, and father of two girls. Detective Ralph Anderson, whose son Maitland once coached, orders a quick and very public arrest. Maitland has an alibi, but Anderson and the district attorney soon have DNA evidence to go with the fingerprints and witnesses. Their case seems ironclad. As the investigation expands and horrifying details begin to emerge, King’s story kicks into high gear, generating strong tension and almost unbearable suspense. Terry Maitland seems like a nice guy, but is he wearing another face? When the answer comes, it will shock you as only Stephen King can.",Horror
"Joe Hill E-Book Bundle: Heart-Shaped Box, 20th Century Ghosts, Horns, and NOS4A2",Joe Hill,"Get four bone-chilling novels of psychological and supernatural suspense from New York Times bestselling author Joe Hill in one e-book, including: Heart-Shaped Box, 20th Century Ghosts, Horns, and NOS4A2. Each publication of Hill is beautiful textured, deliciously scary, and greeted with the sort of overwhelming critical acclaim that is rare for works of skin-crawling supernatural terror. Read on if you dare to see what all the well-deserved hoopla is about.",Horror
The Hellbound Heart: A Novel,Clive Barker,"Frank Cotton's insatiable appetite for the dark pleasures of pain led him to the puzzle of Lemarchand's box, and from there, to a death only a sick-minded soul could invent. But his brother's love-crazed wife, Julia, has discovered a way to bring Frank back—though the price will be bloody and terrible . . . and there will certainly be hell to pay.",Horror
Violets Are Blue (Alex Cross Series #7),James Patterson,"Detective Alex Cross must confront his most terrifying nemesis ever -- and his own deepest fears -- in this electrifying thriller from the world's #1 bestselling writer. D.C. Detective Alex Cross has seen a lot of crime scenes. But even he is appalled by the gruesome murders of two joggers in San Francisco's Golden Gate Park-killings that look more like the work of savage beasts than humans. Local police are horrified and even the FBI is baffled.Then, as Cross is called in to take on the case, the carnage takes off, leaving a trail of bodies across America and sweeping him to Savannah, Las Vegas, New Orleans, Los Angeles as his nemesis, the merciless criminal known as the Mastermind, stalks him, taunts him, and once again, threatens everything he holds dear...",Horror
All Together Dead (Sookie Stackhouse / Southern Vampire Series #7),Charlaine Harris,"Louisiana cocktail waitress Sookie Stackhouse is stuck in the middle of a vampire gathering on the verge of disaster in the seventh novel in the #1 New York Times bestselling series—the inspiration for the HBO® original series True Blood.Sookie Stackhouse has her hands full with shapeshifter Quinn—a possible new man in her life—and the upcoming central U.S. Vampire Summit on the shores of Lake Michigan. Sookie's job at the summit is to support Vampire Queen Sophie-Anne, whose power base was weakened by hurricane damage to New Orleans. But Sookie is about to discover just how dangerous that job can be, as she is drawn further and further into the vampire world...",Horror
